date,weekday
2023-01-26,Thursday
2023-03-07,Tuesday
2023-03-30,Thursday
2023-04-04,Tuesday
2023-04-07,Friday
2023-04-14,Friday
2023-05-01,Monday
2023-06-28,Wednesday
2023-08-15,Tuesday
2023-09-19,Tuesday
2023-10-02,Monday
2023-10-24,Tuesday
2023-11-14,Tuesday
2023-11-27,Monday
2023-12-25,Monday
2024-01-26,Friday
2024-02-19,Monday
2024-03-08,Friday
2024-03-25,Monday
2024-03-29,Friday
2024-04-01,Monday
2024-04-09,Tuesday
2024-04-11,Thursday
2024-04-17,Wednesday
2024-05-01,Wednesday
2024-05-23,Thursday
024-06-17,Monday
2024-07-17,Wednesday
2024-08-15,Thursday
2024-09-16,Monday
2024-10-02,Wednesday
2024-11-01,Friday
2024-11-15,Friday
2024-12-25,Wednesday
2025-02-26,Wednesday
2025-03-14,Friday
2025-03-31,Monday
2025-04-10,Thursday
2025-04-14,Monday
2025-04-18,Friday
2025-05-01,Thursday
2025-08-15,Friday
2025-08-27,Wednesday
2025-10-02,Thursday
2025-10-21,Tuesday
2025-10-22,Wednesday
2025-11-05,Wednesday
2025-12-25,Thursday
2026-01-26,Monday
2026-03-03,Tuesday
2026-03-26,Thursday
2026-03-31,Tuesday
2026-04-03,Friday
2026-04-14,Tuesday
2026-05-01,Friday
2026-05-28,Thursday
2026-06-26,Friday
2026-09-14,Monday
2026-10-02,Friday
2026-10-20,Tuesday
2026-11-10,Tuesday
2026-11-24,Tuesday
2026-12-25,Friday
